Date,Power_kW
2019-02-01 05:00:00,89.094
2019-02-01 06:00:00,90.942
2019-02-01 07:00:00,132.975
2019-02-01 08:00:00,162.269
2019-02-01 09:00:00,173.133
2019-02-01 10:00:00,199.885
2019-02-01 11:00:00,212.8
2019-02-01 12:00:00,214.253
2019-02-01 13:00:00,209.047
2019-02-01 14:00:00,216.652
2019-02-01 15:00:00,223.33
2019-02-01 16:00:00,215.602
2019-02-01 17:00:00,206.548
2019-02-01 18:00:00,179.864
2019-02-01 19:00:00,140.369
2019-02-01 20:00:00,128.528
2019-02-01 21:00:00,113.099
2019-02-01 22:00:00,100.499
2019-02-01 23:00:00,101.315
2019-02-02 00:00:00,103.573
2019-02-02 01:00:00,103.293
2019-02-02 02:00:00,106.517
2019-02-02 03:00:00,102.147
2019-02-02 04:00:00,107.905
2019-02-02 05:00:00,101.365
2019-02-02 06:00:00,100.019
2019-02-02 07:00:00,117.894
2019-02-02 08:00:00,111.972
2019-02-02 09:00:00,113.264
2019-02-02 10:00:00,113.095
2019-02-02 11:00:00,111.036
2019-02-02 12:00:00,119.163
2019-02-02 13:00:00,118.557
2019-02-02 14:00:00,118.837
2019-02-02 15:00:00,124.748
2019-02-02 16:00:00,123.571
2019-02-02 17:00:00,127.842
2019-02-02 18:00:00,122.74
2019-02-02 19:00:00,126.236
2019-02-02 20:00:00,124.595
2019-02-02 21:00:00,108.131
2019-02-02 22:00:00,110.711
2019-02-02 23:00:00,106.199
2019-02-03 00:00:00,115.77
2019-02-03 01:00:00,111.747
2019-02-03 02:00:00,114.983
2019-02-03 03:00:00,108.491
2019-02-03 04:00:00,112.485
2019-02-03 05:00:00,108.342
2019-02-03 06:00:00,108.317
2019-02-03 07:00:00,119.819
2019-02-03 08:00:00,123.214
2019-02-03 09:00:00,126.582
2019-02-03 10:00:00,124.982
2019-02-03 11:00:00,125.314
2019-02-03 12:00:00,127.316
2019-02-03 13:00:00,125.128
2019-02-03 14:00:00,128.033
2019-02-03 15:00:00,131.543
2019-02-03 16:00:00,128.487
2019-02-03 17:00:00,126.734
2019-02-03 18:00:00,130.692
2019-02-03 19:00:00,119.303
2019-02-03 20:00:00,115.564
2019-02-03 21:00:00,106.669
2019-02-03 22:00:00,103.076
2019-02-03 23:00:00,102.036
2019-02-04 00:00:00,111.903
2019-02-04 01:00:00,108.291
2019-02-04 02:00:00,108.673
2019-02-04 03:00:00,110.6
2019-02-04 04:00:00,107.589
2019-02-04 05:00:00,113.85
2019-02-04 06:00:00,117.297
2019-02-04 07:00:00,144.153
2019-02-04 08:00:00,194.142
2019-02-04 09:00:00,235.141
2019-02-04 10:00:00,388.962
2019-02-04 11:00:00,329.262
2019-02-04 12:00:00,338.15
2019-02-04 13:00:00,315.413
2019-02-04 14:00:00,337.57
2019-02-04 15:00:00,374.08
2019-02-04 16:00:00,363.304
2019-02-04 17:00:00,326.718
2019-02-04 18:00:00,272.271
2019-02-04 19:00:00,205.54
2019-02-04 20:00:00,150.847
2019-02-04 21:00:00,134.771
2019-02-04 22:00:00,118.539
2019-02-04 23:00:00,112.819
2019-02-05 00:00:00,109.003
2019-02-05 01:00:00,104.838
2019-02-05 02:00:00,104.541
2019-02-05 03:00:00,108.303
2019-02-05 04:00:00,103.99
